airline_iata,airline_name,airline_country,src_iata,src_airport,src_city,src_country,src_lat,src_lon,dst_iata,dst_airport,dst_city,dst_country,dst_lat,dst_lon,codeshare,stops,equipment,distance_km
2B,Aerocondor,Portugal,AER,Sochi International Airport,Sochi,RU,43.449902,39.9566,KZN,Kazan International Airport,Kazan,RU,55.606201,49.278702,,0,CR2,1507
2B,Aerocondor,Portugal,ASF,Astrakhan Narimanovo Boris M. Kustodiev International Airport,Astrakhan,RU,46.282843,48.010511,KZN,Kazan International Airport,Kazan,RU,55.606201,49.278702,,0,CR2,1040
2B,Aerocondor,Portugal,ASF,Astrakhan Narimanovo Boris M. Kustodiev International Airport,Astrakhan,RU,46.282843,48.010511,MRV,Mineralnye Vody Airport,Mineralnyye Vody,RU,44.225101,43.081902,,0,CR2,448
2B,Aerocondor,Portugal,CEK,Kurchatov Chelyabinsk International Airport,Chelyabinsk,RU,55.303141,61.504927,KZN,Kazan International Airport,Kazan,RU,55.606201,49.278702,,0,CR2,771
2B,Aerocondor,Portugal,CEK,Kurchatov Chelyabinsk International Airport,Chelyabinsk,RU,55.303141,61.504927,OVB,Novosibirsk Tolmachevo Airport,Novosibirsk,RU,55.019756,82.618675,,0,CR2,1336
2B,Aerocondor,Portugal,DME,Domodedovo International Airport,Moscow,RU,55.408798,37.9063,KZN,Kazan International Airport,Kazan,RU,55.606201,49.278702,,0,CR2,716
2B,Aerocondor,Portugal,DME,Domodedovo International Airport,Moscow,RU,55.408798,37.9063,NBC,Begishevo Airport,Nizhnekamsk,RU,55.564701,52.092499,,0,CR2,892
2B,Aerocondor,Portugal,DME,Domodedovo International Airport,Moscow,RU,55.408798,37.9063,TGK,Taganrog Yuzhny Airport,Taganrog,RU,47.1983333,38.8491667,,0,CR2,915
2B,Aerocondor,Portugal,DME,Domodedovo International Airport,Moscow,RU,55.408798,37.9063,UUA,Bugulma Airport,Bugulma,RU,54.641184,52.800229,,0,CR2,951
2B,Aerocondor,Portugal,EGO,Belgorod International Airport,Belgorod,RU,50.643798828125,36.5900993347168,KGD,Khrabrovo Airport,Kaliningrad,RU,54.89161,20.598559,,0,CR2,1172
2B,Aerocondor,Portugal,EGO,Belgorod International Airport,Belgorod,RU,50.643798828125,36.5900993347168,KZN,Kazan International Airport,Kazan,RU,55.606201,49.278702,,0,CR2,1008
2B,Aerocondor,Portugal,GYD,Heydar Aliyev International Airport,Baku,AZ,40.47278,50.050931,NBC,Begishevo Airport,Nizhnekamsk,RU,55.564701,52.092499,,0,CR2,1685
2B,Aerocondor,Portugal,KGD,Khrabrovo Airport,Kaliningrad,RU,54.89161,20.598559,EGO,Belgorod International Airport,Belgorod,RU,50.643798828125,36.5900993347168,,0,CR2,1172
2B,Aerocondor,Portugal,KZN,Kazan International Airport,Kazan,RU,55.606201,49.278702,AER,Sochi International Airport,Sochi,RU,43.449902,39.9566,,0,CR2,1507
2B,Aerocondor,Portugal,KZN,Kazan International Airport,Kazan,RU,55.606201,49.278702,ASF,Astrakhan Narimanovo Boris M. Kustodiev International Airport,Astrakhan,RU,46.282843,48.010511,,0,CR2,1040
2B,Aerocondor,Portugal,KZN,Kazan International Airport,Kazan,RU,55.606201,49.278702,CEK,Kurchatov Chelyabinsk International Airport,Chelyabinsk,RU,55.303141,61.504927,,0,CR2,771
2B,Aerocondor,Portugal,KZN,Kazan International Airport,Kazan,RU,55.606201,49.278702,DME,Domodedovo International Airport,Moscow,RU,55.408798,37.9063,,0,CR2,716
2B,Aerocondor,Portugal,KZN,Kazan International Airport,Kazan,RU,55.606201,49.278702,EGO,Belgorod International Airport,Belgorod,RU,50.643798828125,36.5900993347168,,0,CR2,1008
2B,Aerocondor,Portugal,KZN,Kazan International Airport,Kazan,RU,55.606201,49.278702,LED,Pulkovo Airport,St. Petersburg,RU,59.800301,30.262501,,0,CR2,1217
2B,Aerocondor,Portugal,KZN,Kazan International Airport,Kazan,RU,55.606201,49.278702,SVX,Koltsovo Airport,Yekaterinburg,RU,56.743099212646,60.802700042725,,0,CR2,724
2B,Aerocondor,Portugal,LED,Pulkovo Airport,St. Petersburg,RU,59.800301,30.262501,KZN,Kazan International Airport,Kazan,RU,55.606201,49.278702,,0,CR2,1217
2B,Aerocondor,Portugal,LED,Pulkovo Airport,St. Petersburg,RU,59.800301,30.262501,NBC,Begishevo Airport,Nizhnekamsk,RU,55.564701,52.092499,,0,CR2,1373
2B,Aerocondor,Portugal,LED,Pulkovo Airport,St. Petersburg,RU,59.800301,30.262501,UUA,Bugulma Airport,Bugulma,RU,54.641184,52.800229,,0,CR2,1464
2B,Aerocondor,Portugal,MRV,Mineralnye Vody Airport,Mineralnyye Vody,RU,44.225101,43.081902,ASF,Astrakhan Narimanovo Boris M. Kustodiev International Airport,Astrakhan,RU,46.282843,48.010511,,0,CR2,448
2B,Aerocondor,Portugal,NBC,Begishevo Airport,Nizhnekamsk,RU,55.564701,52.092499,DME,Domodedovo International Airport,Moscow,RU,55.408798,37.9063,,0,CR2,892
2B,Aerocondor,Portugal,NBC,Begishevo Airport,Nizhnekamsk,RU,55.564701,52.092499,GYD,Heydar Aliyev International Airport,Baku,AZ,40.47278,50.050931,,0,CR2,1685
2B,Aerocondor,Portugal,NBC,Begishevo Airport,Nizhnekamsk,RU,55.564701,52.092499,LED,Pulkovo Airport,St. Petersburg,RU,59.800301,30.262501,,0,CR2,1373
2B,Aerocondor,Portugal,NBC,Begishevo Airport,Nizhnekamsk,RU,55.564701,52.092499,SVX,Koltsovo Airport,Yekaterinburg,RU,56.743099212646,60.802700042725,,0,CR2,555
2B,Aerocondor,Portugal,NJC,Nizhnevartovsk Airport,Nizhnevartovsk,RU,60.949299,76.483597,SVX,Koltsovo Airport,Yekaterinburg,RU,56.743099212646,60.802700042725,,0,CR2,1013
2B,Aerocondor,Portugal,NJC,Nizhnevartovsk Airport,Nizhnevartovsk,RU,60.949299,76.483597,UUA,Bugulma Airport,Bugulma,RU,54.641184,52.800229,,0,CR2,1557
2B,Aerocondor,Portugal,NUX,Novy Urengoy Airport,Novy Urengoy,RU,66.06939697265625,76.52030181884766,SVX,Koltsovo Airport,Yekaterinburg,RU,56.743099212646,60.802700042725,,0,CR2,1325
2B,Aerocondor,Portugal,OVB,Novosibirsk Tolmachevo Airport,Novosibirsk,RU,55.019756,82.618675,CEK,Kurchatov Chelyabinsk International Airport,Chelyabinsk,RU,55.303141,61.504927,,0,CR2,1336
2B,Aerocondor,Portugal,OVB,Novosibirsk Tolmachevo Airport,Novosibirsk,RU,55.019756,82.618675,SVX,Koltsovo Airport,Yekaterinburg,RU,56.743099212646,60.802700042725,,0,CR2,1368
2B,Aerocondor,Portugal,SVX,Koltsovo Airport,Yekaterinburg,RU,56.743099212646,60.802700042725,KZN,Kazan International Airport,Kazan,RU,55.606201,49.278702,,0,CR2,724
2B,Aerocondor,Portugal,SVX,Koltsovo Airport,Yekaterinburg,RU,56.743099212646,60.802700042725,NBC,Begishevo Airport,Nizhnekamsk,RU,55.564701,52.092499,,0,CR2,555
2B,Aerocondor,Portugal,SVX,Koltsovo Airport,Yekaterinburg,RU,56.743099212646,60.802700042725,NJC,Nizhnevartovsk Airport,Nizhnevartovsk,RU,60.949299,76.483597,,0,CR2,1013
2B,Aerocondor,Portugal,SVX,Koltsovo Airport,Yekaterinburg,RU,56.743099212646,60.802700042725,NUX,Novy Urengoy Airport,Novy Urengoy,RU,66.06939697265625,76.52030181884766,,0,CR2,1325
2B,Aerocondor,Portugal,SVX,Koltsovo Airport,Yekaterinburg,RU,56.743099212646,60.802700042725,OVB,Novosibirsk Tolmachevo Airport,Novosibirsk,RU,55.019756,82.618675,,0,CR2,1368
2B,Aerocondor,Portugal,TGK,Taganrog Yuzhny Airport,Taganrog,RU,47.1983333,38.8491667,DME,Domodedovo International Airport,Moscow,RU,55.408798,37.9063,,0,CR2,915
2B,Aerocondor,Portugal,UUA,Bugulma Airport,Bugulma,RU,54.641184,52.800229,DME,Domodedovo International Airport,Moscow,RU,55.408798,37.9063,,0,CR2,951
2B,Aerocondor,Portugal,UUA,Bugulma Airport,Bugulma,RU,54.641184,52.800229,LED,Pulkovo Airport,St. Petersburg,RU,59.800301,30.262501,,0,CR2,1464
2B,Aerocondor,Portugal,UUA,Bugulma Airport,Bugulma,RU,54.641184,52.800229,NJC,Nizhnevartovsk Airport,Nizhnevartovsk,RU,60.949299,76.483597,,0,CR2,1557
2G,San Juan Airlines,United States,BTK,Bratsk Airport,Bratsk,RU,56.3696,101.701822,IKT,Irkutsk International Airport,Irkutsk,RU,52.266707,104.395563,,0,A81,488
